,BC cells,Mix BC cells TAMs,DCs,T cells,TAMs,NK cells,Blood ECs,CAFs,Plasma cells,Mural cells,Mast cells,Myoepithelial cells
TFEB,0.0263511260475917,0.263469294891498,0.256184923020756,0.0504273810098725,0.230217357853725,0.0606879556478623,0.138659429510614,0.0734130404878663,0.13193402710018,0.0610662434252611,0.14725699499498,0.0769269243012644
VEGFA,0.336609017317401,0.541748178428576,0.453575550877687,0.0394195521301737,0.65580267483968,0.0609938124019598,0.0259717324212237,0.379779479378127,0.180955178758063,0.164014659948445,0.389574977128566,0.0945662028437791
HSP90AB1,1.02985475670774,1.98548861925685,1.83150409935179,0.955359263644273,1.4060918711909,1.44342513240714,1.43749797498151,0.196986668512689,0.35808752255628,1.3140454600532,0.169761276493198,0.210884060989288
ADGRF5,0.0033334273661686,0.0160630318096259,0,0,0.000930642968620624,0,1.51867491229286,0.0231531283757562,0,1.15207409359302,0,0.00737741784077602
ADGRF1,0.0244478406279952,0,0,0,0,0,0,0,0.0119146779187107,0,0,0.0147422444085921
TNFRSF21,0.169536339767015,0.221614354958904,0.101716782709865,0.0151635929850218,0.339151636509451,0.0207627056975676,0.0276020516352622,0.107964484890579,0.312180925086182,0.30482953194789,0.21823206590008,0.159933052143784
IL17A,0,0,0,0.00170779746623387,0,0,0,0,0,0,0,0
BMP5,0.0660656288966787,0.00156772504572856,0,0.00177265777990245,7.46035835466129e-05,0.00089687221844377,0,0.0134597361986511,0,0.0417999284148571,0,0.130297073107126
COL21A1,0.013277228470069,0.00477024991423461,0.114034199942,0.00380422013536357,0.0038647418436269,0.0108554400264896,0.629558722676222,0.0538361891848296,0.0327144716371215,0.0320283013534386,0,0.00980069395768098
DST,1.16768438843562,0.620413113141028,0.510644036432658,0.102240421160802,0.70730152245039,0.255613399665843,1.16146092185255,1.36894472128617,0.512905415170763,1.9698268620857,0.474315884707427,3.64171469441944
COL12A1,0.0638314035517292,0.0275052721895985,0.00587443539068607,0.00933364692949934,0.0029810269696415,0.00519492542547781,0.154167434452049,1.07427854158532,0.0493729740434576,1.08639521443857,0.0261723950013334,0.100336963427636
EPHA7,0.212973739221288,0.0016516070531798,0,0.00420696155784763,0.00320394758870607,0.00448422793069235,0.0779238918037417,0.00533982232650059,0.013564832609234,0.0230457737494692,0,0.0211621325745745
ATG5,0.463191488541408,0.479270886803297,0.436838250634706,0.493540208613439,0.44543938562789,0.582897156238245,0.470828971870078,0.413326086872437,0.556222832220419,0.357597050788164,0.281737454678071,0.346615341661596
CD24,0.721070466238456,0.0382646074513888,0.030285693609521,0.0379565573630026,0.0280744950548365,0.0472826112710245,0.0235223014103206,0.0197730664833882,0.0588398487948369,0.0287267587770779,0.0649366984345776,0.0222692706069807
CD164,0.297509970001302,0.872294937818578,0.650046423172599,0.350288670069561,0.785419363709115,0.583237216713263,0.454006427234441,0.157953585488433,0.312367413257056,0.631659805678871,0.0917318839553592,0.1918887379435
FYN,0.253754095318971,0.420924329606809,0.518552443623104,2.89310060639875,0.354805917419933,2.59317118475178,1.51226808976086,1.5806495975843,0.484176532488378,0.655628417026484,0.620701332460335,0.506766997340736
LAMA4,0.0266412240095221,0.00700049347610185,0.00791177201130482,0.00418389277393028,0.00374189213043816,0.005613133500929,1.4243408088056,0.901957076290109,0.03060008560216,1.51160583389608,0,0.227003970260552
RSPO3,0.0356926840588159,0.0049175366576633,0,0,0.00190587882945299,0,0.200574375554977,0.296945160120638,0.0100057310981924,0.0202382304246692,0,0.0563511198636269
ARG1,0.00666571263552702,0.00345168420561888,0.00359385846817507,0.0079376278012248,0.00558823099280454,0.0194561733572554,0,0.00484167902415635,0.000998425091304689,0.0111471288737435,0,0.00692163212642353
AHI1,0.745842529085716,0.747504068349837,0.584271983230269,0.433863040466198,0.553293007332469,0.875072081309805,0.45172948961748,1.32148678536163,0.695463270259902,0.909348339558071,1.07154415221719,1.23429825019204
IL20RA,0.122637533060889,0,0,0,0.000746630121027627,0,0,0.0195315120584427,0,0.0134334892220189,0,0.0303063461824773
IFNGR1,0.33047781984125,0.833984951698934,0.951043043150951,0.224683692727456,0.827577783481889,0.269748503099275,0.410322850057887,0.275364467825611,0.205457374098975,0.54902817939345,0.485690076828249,0.498152238506587
ADGRG6,0.215536395252318,0.074705269717916,0.113415620283849,0.00974470783521607,0.0536220810180131,0.158381723423382,0.161175599055485,0.00653012068289501,0.00790118703147976,0,0.0367663543885925,0.00200796008476246
ESR1,0.476820831558135,0.259087100150234,0.194159157001651,0.12204949184895,0.334424232815315,0.0821043586973793,0.0327098281932535,0.29331075844114,0.769266267788259,0.259880161939185,0.079996703782742,0.127143709373264
EZR,0.864568373598012,1.26361840525812,1.17332149887028,0.912784940309556,0.90621567183073,0.981476210245287,0.25711109213543,0.131596901229075,0.847346821517688,0.357786495012048,0.321573250720981,0.425053028982315
SOD2,0.599089527867403,1.59634320628838,0.85644382189365,0.436530767647547,1.96655810604291,0.420563846125684,0.477457292218032,0.985586081162274,0.285220398265076,0.743276295644247,0.178096559879221,0.374575959298316
IGF2R,0.586570332743449,0.653135055965333,0.575490377603408,0.553256171902769,0.872086770244113,0.569110100833917,0.514704761704059,0.807997954254374,1.01057327519997,0.71691498437299,0.201341982241436,0.370589059959639
THBS2,0.0493401811953486,0.0566637593977345,0.00566860905131642,0.00246242292639415,0.0230722778541824,0.0039041184582677,0.0366478812653492,1.24627253596483,0,0.423988694303656,0.0442323928701714,0.00945776099695214
DLL1,0.0454044530965465,0.0119893207225376,0.00256665974884433,0.00948935945213765,0.0200365391666261,0.103026582927957,0.128192780320881,0.210391448413736,0,0.0723477157011797,0,0.154150857617651
PDGFA,0.00885228431129827,0.0245242661122681,0.0187499817181283,0.0497252425460751,0.0189913777732814,0.0196201738429764,0.155254029388192,0.0252685317991736,0.0019119647976865,0.866145910610449,0,0.301472338841333
GPER1,0.0129087281971367,0.00417175593062187,0.00977611125092704,0.00292295505410192,0.00439803574856142,0.016488431474774,0,0.0077152139065484,0,0.0379489852611749,0,0
RAC1,0.695719314691135,1.64203885286077,1.5396109352847,0.397456021872554,1.27760395121272,0.614451548942961,1.25687324849319,0.322582312952574,0.341241567531165,1.14624648798989,0.193345803935783,0.346269152045374
ICA1,0.513400648206363,0.166267793337772,0.0939657914480353,0.230754160045136,0.146955361501579,0.0530684442066083,0.742525720674013,0.0576087439954076,0.058639609517491,0.0478865835886404,0.223421518348815,0.0622670099004935
SOSTDC1,0.0148810685911242,0.000314647207581449,0.00128477404812061,0.000769562445470362,0.000150979475086176,0.00146058657303408,0,0,0,0,0,0
AGR2,0.0571190265374447,0.000317305822541015,0.00394358459075113,0.00361647053847623,0.000525172671571233,0,0,0,0.00398397153168788,0.0121126013909463,0.0300425269731458,0
AHR,0.532982918105734,0.584382140296681,0.914961579416811,0.452511669025654,0.708796064595116,0.455275871067805,1.30237638517424,0.298282491757928,0.252335680168078,0.672911455219972,1.54559403235813,0.938679618232472
TWIST1,0.00752622749025783,0.0135046859080104,0.00374744011838727,0.00352266810356557,0.00876876161132947,0,0.0358537278773589,0.625067318690586,0,0.352550899421941,0.0908421222702516,0.018366800417182
ITGB8,1.24173552475747,0.080579688892214,0.0833383899429909,0.0497879260247752,0.170627795763728,0.0361857937571491,0.0558969124035048,0.22153613216079,0.0914329395470963,0.397664485307727,0.0978738074233303,1.40752251973349
IL6,0.00167020945101065,0.0493997538306593,0.0179124406380606,0.00217969696196357,0.0527646782136054,0.000347991879865997,0.0107142580938701,0.071927849383645,0.0333234850609971,0.0255414302503536,0,0
GPNMB,0.137531754173372,1.03799600207188,0.119490971735361,0.0510916280330246,1.68611606423922,0.0495685115650421,0.0738043937361405,0.248770868432157,0.0851954351171721,0.286315802808732,0.129192636032469,0.120844336594062
INHBA,0.0505970191869238,0.559847248620065,0.137297780656241,0.00698734724818195,0.63780469459385,0.0128599938835595,0.0104568299533683,0.26663312634738,0.0186950496585013,0.216921368391211,0.136073846612038,0.00881360243856788
MYL7,6.43731152099599e-05,0,0,0,0,0,0,0,0,0,0,0.00848373480675245
PPIA,0.929532872100998,2.05920249509629,1.67662398353067,0.801596273705888,1.37558771628035,1.23209427290315,1.43437530200618,0.188451415909439,0.445737793530632,1.52310206946745,0.0968343185810796,0.330669470455891
RAMP3,0.000960983403446937,0.00963359141301371,0.0017092564687948,0.000739117977446065,0.000211258209765568,0,1.29282714986859,0.00978265702605884,0,0,0,0
IGFBP3,0.0517233628829212,0.0151796189217991,0.00579374033893944,0.037781029020695,0.00299423540365512,0.0122301595507818,0.332002846764484,0.0434096295773832,0.0173741953662631,0,0,0
DDC,0.00190999155682186,0,0.000410219302286065,0,0.000486103637078716,0,0.0162821695738174,0.0041593332125966,0,0,0,0
SEC61G,0.402087893582325,0.997674883802091,0.782031050621552,0.355761205148219,0.806988941236238,0.564918879053522,0.569299441620958,0.106384355779596,0.372907887092037,0.737534996486461,0.0227609036693004,0.0367571095715624
EGFR,0.551791815067622,0.0266833339110631,0.00470092542010818,0.026605807862805,0.00624493480903606,0.00163374933933113,0.062134845658697,1.31134393187707,0.0243195372481203,0.628980024539242,0.0809987472587639,1.29965461607756
CLDN4,0.487547201908763,0.0292219141673294,0.0229101537639999,0.028234310731087,0.0228158801214329,0.0212261539826996,0.0168068517784827,0.0239722187712234,0.0166175182995962,0.0206492176523439,0.0310717901646354,0.0424689814964613
CCL26,0.00079768070365941,0.000439818905960723,0,0,0.000524226299818016,0,0,0.00412328999516345,0.0261009580746044,0.0488669654167707,0,0
HSPB1,0.205135857687685,0.759254974257035,0.594748535122299,0.187820194419499,0.656884841706734,0.275196604699822,0.768790257456285,0.0696003855961288,0.0427983618286187,0.99740166600424,0.0109974527615503,0.0536331761851701
CD36,0.0180612482573772,0.357859435537315,0.0799696526435975,0.0136719150876699,0.533099639215579,0.00868610327543151,0.431365537723708,0.0676649981911653,0.257009731422582,0.42498485879113,0.141721045237041,0.0245851213876282
HGF,0.00958420274770949,0.0438729732570703,0.0145472626494034,0.00237126774600555,0.0819257170558282,0.0113998161842487,0,0.326735804590657,0.000928334066939297,0.243654741350423,0.0144137704310474,0.02796701102193
FZD1,0.0426261988032453,0.181645216605619,0.126347667661988,0.00119594977738125,0.11022825506262,0.00311828355944761,0.0411369781790372,0.0249759411998268,0.0037674360264053,0.0182286689501536,0,0.0341600599713225
COL1A2,0.0277615479658408,0.0302001746814392,0.028691469180977,0.0181613062606638,0.0198847261874276,0.0251417187440383,0.176799749172394,2.09250086410203,0.0412699205250546,2.54058440539142,0.0548841605024359,0.0751320365550265
AZGP1,0.865156658590679,0.0290110765607927,0.0211257081119137,0.0362101153418266,0.027562593299417,0.021160015507386,0.0263464201043564,0.0283164780881146,0.0226577802399212,0.0378815701566186,0.0934718173871936,0.0306887825902627
EPHB4,0.214351592264635,0.00499257841527998,0.00772938292698335,0.00597434309634124,0.0023075720877588,0.00681373154893869,0.534968854404322,0.016156407633042,0.0177762121645152,0.0528799256325783,0,0.0485211258279311
CAV1,0.0995239182699766,0.0139702203698759,0.0117175884445087,0.00999205745809356,0.0101738406809137,0.010369122438769,1.07424801371472,0.0471852737295911,0.0666785529983753,1.26598616587021,0,0.978919680726601
MET,0.09681994994812,0.0169567449942104,0.00389830556629418,0.0053077922759972,0.0625003044979196,0.0089030721011116,0.561458381035429,0.0119446866010173,0,0.107048601183334,0,0.651759822508143
LEP,0,0.000626966480293259,0.000997808036874781,0.000877760147284717,0.00687189249759764,0,0,0,0,0,0,0
HILPDA,0.199198563072274,0.156055520160705,0.127730293051558,0.0214104435919628,0.257076060047009,0.0277419135703765,0.0680513503955806,0.0472523026935979,0.0134863398797531,0.136594251282853,0,0.00873304633835798
SMO,0.126397601885585,0.0153812038289184,0.0611574840002081,0.00933397190755476,0.0129576294629481,0.00214341209303605,0,0.0526480725493028,0,0.0189781815846933,0.0300425269731458,0.0434598258870219
CALD1,0.824430648606042,0.076243971658575,0.0251845710258865,0.0718801386333901,0.0324884287216711,0.0496549652093445,1.85630995270042,2.24328048013059,0.0930930936994834,3.43231213361625,0.136347871433251,2.7449217750316
